,tweetID,tweetText,tweetRetweetCt,tweetFavoriteCt,tweetSource,tweetCreated,userID,userScreen,userName,userCreateDt,userDesc,userFollowerCt,userFriendsCt,userLocation,userTimezone
0,693221669196923000,Donald Trump was right: his absence really did lower debate viewership https://t.co/VraKjuRH4F via @voxdotcom,0,0,Twitter for Android,2016-01-29 23:58:20,3135575571,butchgreen200,Butchgreen200@gmail.,2015-04-05 02:51:21,,58,348,,
1,693220758194123000,"RT @NewsFixHouston: Trump skips debate, but was there in spirit https://t.co/nBIwVVrNCu",1,0,RoundTeam,2016-01-29 23:54:42,1722693830,livehoustonlife,livehoustonlife,2013-09-02 15:39:35,"Houston /ˈhjuːstən/ is the fourth-largest city in the United States of America, and the largest city in the state of Texas. 
Houston was founded in 1836.",1702,1320,Houston,
2,693220687809507000,"&amp; that's all I have to say about that. @ Trump International Hotel, Washington, D.C. https://t.co/tO24HrBF0m",0,0,Instagram,2016-01-29 23:54:26,45898037,yeeshbirch__,Elizabeth Oak,2009-06-09 18:05:00,"Travel light, live light, spread the light, be the light.",57,59,"Irondequoit, NY",Eastern Time (US & Canada)
3,693220277895954000,Trump Building... No I don't support him (As president)... Like… https://t.co/JDzqr3mbmK,0,0,Instagram,2016-01-29 23:52:48,977593075,AftonLJordan,Afton Laidy Jordan,2012-11-29 04:33:45,⊱✿ #Author of #TheFlowerYouOnceHeld #Artist #Writer #VoiceOverArtist #ACX #AudibleAudiobookNarrator #FullSailBFA #Poet ✿⊰,1257,1889,KIK: B34utifyll,Eastern Time (US & Canada)
4,693219952912773000,"Can you recommend anyone for this #Hospitality #job? https://t.co/S4m5RTCjKD #Chicago, IL #Hiring #CareerArc",0,0,TweetMyJOBS,2016-01-29 23:51:30,22453816,tmj_chi_hrta,Chicago Hospitality,2009-03-02 05:08:25,"Follow this account for geo-targeted Hospitality/Restaurant/Tourism job tweets in Chicago, IL. Need help? Tweet us at @CareerArc!",558,299,"Chicago, IL",Eastern Time (US & Canada)
5,693219854749409000,The sun reflecting off of the Trump Hotel and Residences and it sets on the city. Doesn't that… https://t.co/qQ9a1ylA2H,0,0,Instagram,2016-01-29 23:51:07,2859159575,jasondeluca_to,Jason DeLuca,2014-11-03 17:20:19,"Buy Sell & Lease in Toronto | Sales Representative | Royal LePage Real Estate Services Ltd. | Johnston and Daniel Division, Brokerage",37,109,,Eastern Time (US & Canada)
6,693219671865061000,"Trump skips debate, but was there in spirit https://t.co/nBIwVVrNCu",1,0,WordPress.com,2016-01-29 23:50:23,259832379,NewsFixHouston,NewsFix,2011-03-02 17:53:11,"Catch NewsFix every night on CW39 at 5p, 9pm & 10p. NewsFix may republish your Tweets in any media in perpetuity.",8959,537,"Houston, TX",Central Time (US & Canada)
7,693219383737455000,https://t.co/2ayCyKV6n6,,,,,,,,,,,,,
8,693218915388908000,https://t.co/HVp2JdS8uR ,,,,,,,,,,,,,
9,693217683731550000,Trump hiding in the background 🙈 #Chicago #Rubio2016 @ Howells &amp; Hood https://t.co/NqDF666oTc,0,1,Instagram,2016-01-29 23:42:29,264953609,KyleThorsen,Kyle Thorsen™,2011-03-12 18:57:30,“No fear. No Distractions. The ability to let that which does not matter truly slide” -Tyler Durden,595,1485,Live in CHI roots in MN,Central Time (US & Canada)
